,Headline,Category
70,Terrorist group kills 2 members of Internal Security Forces in Daraa,terrorism
42,2 PMU forces martyred in ISIL attack on Iraq's Samarra,terrorism
82,"Islamic State claims Nigeria bombing, says about 30 killed or hurt",terrorism
64,Six Niger troops killed in 'terrorist' attack,terrorism
167,"Eight terrorists killed in two operations, says ISPR",none
167,"Two Mapuche dead, several injured, in Chilean south",none
175,"12 YPG/PKK terrorists killed in northern Syria, Iraq",none
238,YPG/PKK suicide attack in Syria's Afrin foiled,none
28,PKK exploits out-of-school activities to recruit children,terrorism
24,"Terrorists killed in fresh Katsina attack, say police",terrorism
