Headline,Category,Name,Country,Region,Continent,Site,Collected
Mali: Former President Boubacar Keïta Dies in Bamako,random,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220117
Ministry bans external mocks for candidates,random,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220117
Arts & Culture,random,Mail & Guardian,South Africa,South Africa,Africa,https://mg.co.za/,20220117
Delta Chief Judge frees four awaiting trial inmates in Warri prison,random,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220117
"APC govs' forum DG, Salihu Lukman, resigns amid national convention crisis",random,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220117
"Fatu Camara, CEO, The Fatu Network",random,The Standard,Gambia,West Africa,Africa,https://standard.gm/,20220117
Somalia’s miracle men eye more history,random,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220117
Rival groups clash at Murue coffee farmers’ meeting,random,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220117
“Disgraceful And Embarrassing”…Deputy Speaker Described Colleagues…,random,The Inquirer,Liberia,West Africa,Africa,https://www.theinquirernewspaper.com/,20220117
"Addis Ababa City Admin Starts Building 5,000 Prefabricated Houses",random,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220117
Samuel Eto’o accused by Spanish authorities of tax evasion,random,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220120
Libya PM says billions stolen from Libyans by several countries,random,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220120
Most difficult exams in the world,random,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220120
Biden questions if US midterm elections will be 'legit',random,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220120
Windhoek doctor arrested on wildlife charges,random,The Namibian,Namibia,South Africa,Africa,https://www.namibian.com.na/,20220124
"After 20 years of visits, ICRC calls for transfers of eligible Guantanamo detainees",random,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220124
Flashflood: Banjul continues to face rising sea level threat,random,The Point,Gambia,West Africa,Africa,https://thepoint.gm/,20220124
Subscribe to eNation,random,The Nation,Malawi,East Africa,Africa,https://www.mwnation.com/,20220124
