Headline,Category
"Al-Shabab terrorist attack at Somali hotel kills 20, injures 40",terrorism
Several killed in suspected ISIL attack on northeast Syria iftar,terrorism
Five Dead in Attack by Suspected FARC Dissidents in Colombia,terrorism
Terrorist attacks in Mali leave 66 dead,terrorism
Four Colombian soldiers killed by dissident FARC group,terrorism
Burkina Faso: 11 soldiers killed in latest attack in the East,terrorism
Burkina Faso: At least 50 killed in jihadist attack on eastern rural village,terrorism
Jammu and Kashmir: Civilian and cop injured in two terror attacks on Independence Day,terrorism
Burkina Faso: At least seven civilians killed in jihadist attack,terrorism
"4 Soldiers Killed In Attack At Jammu Army Camp, 2 Terrorists Shot Dead",terrorism
Kashmir: Two injured in grenade attack by terrorists,terrorism
ISWAP responsible for attack on soldiers near Zuma rock �Report,terrorism
"Terrorists attack Military checkpoint in Abuja, kill soldiers in shootout",terrorism
Migrant worker shot dead in Kashmir terror attack,terrorism
"Somalia Hotel Attack: At least 30 killed after Al-Shabaab terrorists storm Hayat Hotel in Mogadishu, several held hostages",terrorism
"Five killed, three wounded in Diyala ISIS attack",terrorism
YPG attack kills six civilians in Syria�s Afrin,terrorism
PKK/YPG terror group fires mortar shells into southeastern T�rkiye,terrorism
"Al-Qaeda Terrorists Attack Mali Military Base in Kati, Kill One Soldier",terrorism
Syrian Al-Qaeda kill two in drone attack on Greek Orthodox church opening,terrorism
"Militants kill at least 15 soldiers, several civilians in coordinated Mali attacks",terrorism
Daesh/ISIS terrorists kill 5 soldiers in eastern Iraq,terrorism
Suspected YPG attack in Syria�s Afrin kills four,terrorism
Five killed in ISIL attack in Afghanistan�s Kandahar prov.,terrorism
"Terrorists killed in fresh Katsina attack, say police",terrorism
"Again, terrorists kill 3; kidnap 28, demand for soft drinks, gallons of petrol as ransom in Niger",terrorism
Vehicles burned in al Shabab attack in Kenya’s Lamu,terrorism
"Daesh steps up attacks in Iraq, Syria",terrorism
PKK exploits out-of-school activities to recruit children,terrorism
Tensions in Colombia rise after ELN bomb injures police in Cali,terrorism
"Suspected ISWAP terrorists kill over 20 Christians, abduct priest after shooting their way into church",terrorism
10 soldiers martyred in terrorist attack on checkpost in Balochistan's Kech: ISPR,terrorism
Balochistan: 10 soldiers embrace martyrdom in terrorist attack,terrorism
Terror hits Pak: 10 soldiers killed in attack on army check post in Balochitan,terrorism
Bomb blast in Kenya leaves 10 dead following Terror Threat Warning,terrorism
"Terrorists attack presidential guards in Abuja, kill eight soldiers ",terrorism
"7 Pakistani soldiers, 13 terrorists killed in clash in Balochistan",terrorism
"ISIL leader blows up self, family as US attacks Syria hideout",terrorism
Five soldiers martyred after terrorists attack Pakistani troops from Afghanistan,terrorism
YPG/PKK terrorists abduct 2 journalists in Syria,terrorism
